epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,80.4461,0.82865,0.76295,1.09414,0.99745,0.92817,0.93188,0.69442,0.79342,0.77091,1.11817,0.00126206,0.00126206,0.00126206
120,81.0955,0.80243,1.19415,1.03567,0.94477,0.93333,0.9297,0.69285,0.79253,0.75655,1.11505,0.00126065,0.00126065,0.00126065
121,81.7312,0.91329,1.02829,1.1267,0.94477,0.93333,0.9297,0.69285,0.79253,0.75655,1.11505,0.00125923,0.00125923,0.00125923
122,82.3932,0.80268,0.74263,1.00146,0.94783,0.93333,0.932,0.7157,0.84058,0.69703,1.14422,0.00125782,0.00125782,0.00125782
123,83.0479,0.73623,0.75009,1.01303,0.98849,0.92713,0.94185,0.71354,0.86333,0.69553,1.15618,0.00125641,0.00125641,0.00125641
124,83.7085,0.77922,0.76774,1.05091,0.98329,0.92803,0.95073,0.74585,0.84176,0.67682,1.14972,0.00125499,0.00125499,0.00125499
125,84.3625,0.72447,0.67117,0.96194,0.98329,0.92803,0.95073,0.74585,0.84176,0.67682,1.14972,0.00125358,0.00125358,0.00125358
126,85.029,0.76984,0.71965,0.99744,0.93844,0.93333,0.9508,0.73939,0.84438,0.71753,1.15813,0.00125216,0.00125216,0.00125216
127,85.8571,0.75032,0.78538,1.04831,0.92946,0.92155,0.937,0.72002,0.83913,0.76782,1.15694,0.00125075,0.00125075,0.00125075
128,86.5138,0.65488,0.64907,0.93286,0.90495,0.86582,0.92072,0.70722,0.8166,0.80134,1.1678,0.00124933,0.00124933,0.00124933
129,87.1471,0.70507,0.82103,1.0342,0.90495,0.86582,0.92072,0.70722,0.8166,0.80134,1.1678,0.00124792,0.00124792,0.00124792
130,87.8003,0.87227,0.86501,1.32007,0.80722,0.88856,0.91218,0.69791,0.8507,0.87519,1.18279,0.0012465,0.0012465,0.0012465
131,88.4489,0.83432,0.692,1.05655,0.80434,0.86873,0.91014,0.69178,0.86026,0.87813,1.20303,0.00124509,0.00124509,0.00124509
132,89.1059,0.71335,0.66268,1.00569,0.89598,0.86667,0.93065,0.70075,0.86203,0.80491,1.22391,0.00124367,0.00124367,0.00124367
133,89.7497,0.77022,0.67239,1.04906,0.89598,0.86667,0.93065,0.70075,0.86203,0.80491,1.22391,0.00124226,0.00124226,0.00124226
134,90.3922,0.77316,0.71319,1.0123,0.91918,0.9,0.93619,0.70087,0.82634,0.74686,1.17545,0.00124084,0.00124084,0.00124084
135,91.0436,0.8244,0.76498,1.09401,0.96454,0.91786,0.95619,0.72854,0.86134,0.72272,1.19571,0.00123943,0.00123943,0.00123943
136,91.7016,0.77346,0.71088,1.02509,0.97924,0.92485,0.96174,0.74203,0.80614,0.71918,1.17369,0.00123801,0.00123801,0.00123801
137,92.348,0.76428,0.6777,0.99591,0.97924,0.92485,0.96174,0.74203,0.80614,0.71918,1.17369,0.0012366,0.0012366,0.0012366
138,92.9976,0.72213,0.66525,0.9602,0.96434,0.95113,0.96174,0.72112,0.81626,0.76821,1.17707,0.00123518,0.00123518,0.00123518
139,93.6573,0.71521,0.74782,1.00138,0.97768,0.92809,0.96175,0.74233,0.79254,0.77794,1.16016,0.00123377,0.00123377,0.00123377
140,94.4838,0.85878,0.80064,1.06614,0.98697,0.9172,0.96176,0.76481,0.76543,0.76847,1.14228,0.00123236,0.00123236,0.00123236
141,95.1392,0.72324,0.68193,1.09061,0.98697,0.9172,0.96176,0.76481,0.76543,0.76847,1.14228,0.00123094,0.00123094,0.00123094
142,95.8137,0.78689,1.07746,1.08487,0.98425,0.92315,0.96176,0.75732,0.76697,0.74903,1.13608,0.00122953,0.00122953,0.00122953
143,96.458,0.73093,0.70434,0.9606,0.92789,0.94175,0.92541,0.75116,0.74683,0.72626,1.14357,0.00122811,0.00122811,0.00122811
144,97.1161,0.80923,0.8065,1.10963,0.94816,0.95627,0.93845,0.71043,0.78565,0.69564,1.17587,0.0012267,0.0012267,0.0012267
145,97.7536,0.79813,0.79761,1.04621,0.94816,0.95627,0.93845,0.71043,0.78565,0.69564,1.17587,0.00122528,0.00122528,0.00122528
146,98.4013,0.70512,0.79958,0.99479,0.92435,0.96667,0.93353,0.72987,0.788,0.60222,1.18501,0.00122387,0.00122387,0.00122387
147,99.069,0.72728,0.66604,0.95813,0.89978,0.92102,0.90851,0.71624,0.75885,0.57585,1.16455,0.00122245,0.00122245,0.00122245
148,99.7339,0.70763,0.62133,0.96638,0.85719,0.86667,0.88901,0.69594,0.77874,0.6448,1.16121,0.00122104,0.00122104,0.00122104
149,100.374,0.70067,0.77013,1.09565,0.85719,0.86667,0.88901,0.69594,0.77874,0.6448,1.16121,0.00121962,0.00121962,0.00121962
150,101.028,0.77991,0.78877,1.13822,0.83654,0.89374,0.91077,0.71635,0.7569,0.62265,1.12143,0.00121821,0.00121821,0.00121821
151,101.684,0.63075,0.57846,0.93816,0.86279,0.92507,0.93757,0.7344,0.74657,0.57115,1.09863,0.00121679,0.00121679,0.00121679
152,102.345,0.73058,0.67828,1.02795,0.87388,0.9,0.93339,0.73929,0.71817,0.5497,1.077,0.00121538,0.00121538,0.00121538
153,103.134,0.66645,0.64473,1.02084,0.87388,0.9,0.93339,0.73929,0.71817,0.5497,1.077,0.00121396,0.00121396,0.00121396
154,103.777,0.60271,0.56176,0.94906,0.9171,0.94348,0.93893,0.753,0.69066,0.5392,1.06617,0.00121255,0.00121255,0.00121255
155,104.43,0.62576,0.60247,0.92483,0.91356,0.94586,0.94561,0.75812,0.7162,0.52202,1.07461,0.00121113,0.00121113,0.00121113
156,105.078,0.63954,0.65404,1.02861,0.90229,0.93333,0.93714,0.74629,0.74616,0.55626,1.08772,0.00120972,0.00120972,0.00120972
157,105.726,0.8259,0.96476,1.04607,0.90229,0.93333,0.93714,0.74629,0.74616,0.55626,1.08772,0.00120831,0.00120831,0.00120831
158,106.38,0.69114,0.64189,0.97296,0.98642,0.8911,0.93009,0.72903,0.79617,0.56874,1.11355,0.00120689,0.00120689,0.00120689
159,107.037,0.65988,0.63906,0.96346,0.94864,0.89437,0.91955,0.72048,0.80232,0.5731,1.11503,0.00120548,0.00120548,0.00120548
160,107.704,0.66417,0.54315,0.98946,0.91958,0.93333,0.91599,0.7194,0.76267,0.54095,1.10049,0.00120406,0.00120406,0.00120406
161,108.34,0.90802,0.73739,1.21484,0.91958,0.93333,0.91599,0.7194,0.76267,0.54095,1.10049,0.00120265,0.00120265,0.00120265
162,108.998,0.73926,0.74152,0.9587,0.93346,0.9,0.92226,0.73253,0.7402,0.57298,1.09316,0.00120123,0.00120123,0.00120123
163,109.65,0.71684,0.76551,0.95423,0.93899,0.9,0.91291,0.74304,0.75523,0.61792,1.09819,0.00119982,0.00119982,0.00119982
164,110.31,0.62837,0.58221,0.95991,0.94204,0.9,0.92379,0.74195,0.71641,0.56359,1.08187,0.0011984,0.0011984,0.0011984
165,111.103,0.76673,0.70888,1.10648,0.94204,0.9,0.92379,0.74195,0.71641,0.56359,1.08187,0.00119699,0.00119699,0.00119699
166,111.758,0.61911,0.60175,0.94182,0.92922,0.9,0.90961,0.725,0.72567,0.5789,1.08877,0.00119557,0.00119557,0.00119557
167,112.411,0.66357,0.57193,0.93008,0.92174,0.9,0.90637,0.71289,0.75592,0.56198,1.10212,0.00119416,0.00119416,0.00119416
168,113.079,0.65885,0.63318,0.94583,0.95778,0.89894,0.92464,0.72397,0.75161,0.53579,1.10238,0.00119274,0.00119274,0.00119274
169,113.728,0.69342,0.98826,1.09905,0.95778,0.89894,0.92464,0.72397,0.75161,0.53579,1.10238,0.00119133,0.00119133,0.00119133
170,114.379,0.74789,0.65847,0.97406,0.95765,0.92508,0.92915,0.7277,0.77502,0.53574,1.11113,0.00118991,0.00118991,0.00118991
171,115.036,0.7616,0.58952,0.98953,0.95479,0.92633,0.92933,0.72865,0.80153,0.55852,1.14545,0.0011885,0.0011885,0.0011885
172,115.689,0.4648,3.63309,0.67591,0.91362,0.92091,0.9227,0.69048,0.87901,0.63709,1.18689,0.00118708,0.00118708,0.00118708
173,116.322,0.85771,0.77235,1.08795,0.91362,0.92091,0.9227,0.69048,0.87901,0.63709,1.18689,0.00118567,0.00118567,0.00118567
174,116.978,0.62124,1.22213,1.03511,0.95538,0.86667,0.91728,0.69304,0.88349,0.66482,1.16407,0.00118426,0.00118426,0.00118426
175,117.628,0.86511,0.75183,1.047,0.94123,0.93333,0.92933,0.71772,0.8664,0.60745,1.15907,0.00118284,0.00118284,0.00118284
176,118.274,0.72247,0.8021,1.02888,0.92069,0.9258,0.92685,0.71583,0.81542,0.56131,1.13227,0.00118143,0.00118143,0.00118143
177,118.91,0.7522,0.59479,0.99703,0.92069,0.9258,0.92685,0.71583,0.81542,0.56131,1.13227,0.00118001,0.00118001,0.00118001
178,119.712,1.39098,1.20556,1.21574,0.96039,0.89309,0.92038,0.72799,0.76069,0.5428,1.11501,0.0011786,0.0011786,0.0011786
179,120.357,0.59297,0.54957,0.94743,0.95329,0.85533,0.91082,0.72565,0.72535,0.56278,1.11603,0.00117718,0.00117718,0.00117718
180,121.005,0.66377,0.82506,0.98764,0.8837,0.86413,0.90696,0.71987,0.69864,0.56348,1.10515,0.00117577,0.00117577,0.00117577
